Rate;Log ;
0,0101;-1,9956;
0,0101;-1,9956;
0,0101;-1,9956;
0,0101;-1,9956;
0,0101;-1,9956;
0,0202;-1,6946;
0,0202;-1,6946;
0,0202;-1,6946;
0,0202;-1,6946;
0,0202;-1,6946;
0,0202;-1,6946;
0,0202;-1,6946;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0303;-1,5185;
0,0404;-1,3936;
0,0404;-1,3936;
0,0404;-1,3936;
0,0404;-1,3936;
0,0404;-1,3936;
0,0404;-1,3936;
0,0404;-1,3936;
0,0404;-1,3936;
0,0505;-1,2967;
0,0505;-1,2967;
0,0505;-1,2967;
0,0505;-1,2967;
0,0505;-1,2967;
0,0505;-1,2967;
0,0505;-1,2967;
0,0505;-1,2967;
0,0505;-1,2967;
0,0505;-1,2967;
0,0606;-1,2175;
0,0606;-1,2175;
0,0606;-1,2175;
0,0606;-1,2175;
0,0606;-1,2175;
0,0606;-1,2175;
0,0606;-1,2175;
0,0606;-1,2175;
0,0606;-1,2175;
0,0606;-1,2175;
0,0606;-1,2175;
0,0606;-1,2175;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0707;-1,1505;
0,0808;-1,0925;
0,0808;-1,0925;
0,0808;-1,0925;
0,0808;-1,0925;
0,0808;-1,0925;
0,0808;-1,0925;
0,0808;-1,0925;
0,0808;-1,0925;
0,0808;-1,0925;
0,0808;-1,0925;
0,0808;-1,0925;
0,0808;-1,0925;
0,0808;-1,0925;
0,0909;-1,0414;
0,0909;-1,0414;
0,0909;-1,0414;
0,0909;-1,0414;
0,0909;-1,0414;
0,0909;-1,0414;
0,0909;-1,0414;
0,0909;-1,0414;
0,0909;-1,0414;
0,0909;-1,0414;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1010;-0,9956;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1111;-0,9542;
0,1212;-0,9165;
0,1212;-0,9165;
0,1212;-0,9165;
0,1212;-0,9165;
0,1212;-0,9165;
0,1212;-0,9165;
0,1212;-0,9165;
0,1212;-0,9165;
0,1212;-0,9165;
0,1212;-0,9165;
0,1212;-0,9165;
0,1212;-0,9165;
0,1313;-0,8817;
0,1313;-0,8817;
0,1313;-0,8817;
0,1313;-0,8817;
0,1313;-0,8817;
0,1313;-0,8817;
0,1313;-0,8817;
0,1313;-0,8817;
0,1313;-0,8817;
0,1313;-0,8817;
0,1313;-0,8817;
0,1313;-0,8817;
0,1313;-0,8817;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1414;-0,8495;
0,1515;-0,8195;
0,1515;-0,8195;
0,1515;-0,8195;
0,1515;-0,8195;
0,1515;-0,8195;
0,1515;-0,8195;
0,1515;-0,8195;
0,1515;-0,8195;
0,1515;-0,8195;
0,1515;-0,8195;
0,1515;-0,8195;
0,1515;-0,8195;
0,1515;-0,8195;
0,1515;-0,8195;
0,1616;-0,7915;
0,1616;-0,7915;
0,1616;-0,7915;
0,1616;-0,7915;
0,1616;-0,7915;
0,1616;-0,7915;
0,1616;-0,7915;
0,1616;-0,7915;
0,1717;-0,7652;
0,1717;-0,7652;
0,1717;-0,7652;
0,1717;-0,7652;
0,1717;-0,7652;
0,1717;-0,7652;
0,1717;-0,7652;
0,1717;-0,7652;
0,1717;-0,7652;
0,1717;-0,7652;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1818;-0,7404;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,1919;-0,7169;
0,2020;-0,6946;
0,2020;-0,6946;
0,2020;-0,6946;
0,2020;-0,6946;
0,2020;-0,6946;
0,2020;-0,6946;
0,2020;-0,6946;
0,2020;-0,6946;
0,2020;-0,6946;
0,2020;-0,6946;
0,2020;-0,6946;
0,2020;-0,6946;
0,2121;-0,6734;
0,2121;-0,6734;
0,2121;-0,6734;
0,2121;-0,6734;
0,2121;-0,6734;
0,2121;-0,6734;
0,2121;-0,6734;
0,2121;-0,6734;
0,2121;-0,6734;
0,2121;-0,6734;
0,2121;-0,6734;
0,2121;-0,6734;
0,2121;-0,6734;
0,2121;-0,6734;
0,2222;-0,6532;
0,2222;-0,6532;
0,2222;-0,6532;
0,2222;-0,6532;
0,2222;-0,6532;
0,2222;-0,6532;
0,2222;-0,6532;
0,2222;-0,6532;
0,2222;-0,6532;
0,2222;-0,6532;
0,2222;-0,6532;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2323;-0,6339;
0,2424;-0,6154;
0,2424;-0,6154;
0,2424;-0,6154;
0,2424;-0,6154;
0,2424;-0,6154;
0,2424;-0,6154;
0,2424;-0,6154;
0,2424;-0,6154;
0,2424;-0,6154;
0,2424;-0,6154;
0,2424;-0,6154;
0,2424;-0,6154;
0,2424;-0,6154;
0,2424;-0,6154;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2626;-0,5807;
0,2626;-0,5807;
0,2626;-0,5807;
0,2626;-0,5807;
0,2626;-0,5807;
0,2626;-0,5807;
0,2626;-0,5807;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,4040;-0,3936;
0,4040;-0,3936;
0,4040;-0,3936;
0,4040;-0,3936;
0,4040;-0,3936;
0,4040;-0,3936;
0,4040;-0,3936;
0,4040;-0,3936;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
